Country Name;Country Code;Last Update;Indicator Name;Indicator Code;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Aruba;ABW;2023-06-29;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;;;;;;;;;;;;;;;;;;;;;;;;;;;1,60784E+14;1,86486E+14;1,21298E+14;3,9614E+14;7,96287E+14;5,88235E+14;7,30769E+14;8,2039E+14;2,54714E+14;1,18579E+14;7,04687E+14;1,99198E+14;1,23804E+13;7,61659E+14;4,19596E+14;-9,57771E+14;1,12088E+14;7,28103E+14;-3,84927E+14;1,13891E+14;3,09672E+14;1,83343E+14;-1,16836E+14;-2,7326E+14;3,36678E+14;-1,03538E+14;6,42982E+14;-2,04792E+14;3,54363E+14;2,11672E+14;5,48237E+14;5,25785E+12;6,3503E+14;-1,85891E+14;1,71725E+13;
Africa Eastern and Southern;AFE;2023-06-29;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;2,54879E+14;7,96583E+13;5,14822E+14;4,57933E+14;5,34621E+14;3,93591E+14;5,26055E+14;4,01071E+14;5,2799E+14;4,68321E+14;5,40076E+14;2,16487E+14;4,43966E+13;5,893E+14;1,74777E+14;2,85805E+13;1,25391E+14;1,07039E+14;2,80722E+14;5,39754E+14;4,30654E+14;5,20133E+14;1,73314E+14;3,02094E+14;-4,29628E+14;2,28852E+14;4,23742E+14;4,01292E+14;2,90429E+14;-1,85342E+14;1,36909E+13;-1,97962E+13;-3,65019E+14;1,98476E+14;4,33524E+14;5,45015E+14;4,43328E+14;1,84235E+14;2,65328E+14;3,35376E+14;3,62724E+14;3,90158E+14;3,10196E+14;5,50783E+14;6,11215E+13;6,55831E+14;6,57709E+14;4,31249E+14;6,63961E+14;5,15868E+14;3,70691E+14;8,45016E+14;4,2196E+14;3,99468E+14;2,9741E+14;2,22452E+14;2,54697E+14;2,51398E+14;2,08777E+13;-2,88868E+14;4,33493E+13;3,40485E+14
Afghanistan;AFG;2023-06-29;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,83228E+14;1,41412E+14;1,12297E+14;5,3574E+14;1,38263E+14;3,92498E+14;2,13905E+14;1,43624E+14;4,26355E+14;1,27523E+14;5,60074E+14;2,72454E+14;1,45131E+14;2,26031E+14;2,647E+14;1,18923E+14;3,9116E+12;-2,3511E+14;-2,07E+14;
Africa Western and Central;AFW;2023-06-29;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;1,85487E+14;3,77285E+14;7,27861E+14;5,41081E+14;4,08167E+14;-1,77993E+14;-9,55535E+14;1,45711E+14;1,55391E+14;1,79159E+14;1,08065E+14;3,15886E+14;4,2224E+14;1,02442E+13;-2,1794E+14;8,55623E+14;4,74219E+14;-2,19352E+14;5,21575E+14;2,04325E+14;-6,97418E+14;-3,37785E+14;-6,56296E+14;5,61474E+14;5,55526E+14;1,40577E+14;1,45762E+14;4,86778E+14;2,27527E+14;6,57938E+14;1,11025E+14;2,6922E+14;-1,20176E+14;-2,74994E+14;1,92953E+14;4,63842E+14;4,25521E+14;3,48389E+14;1,42026E+14;3,73269E+14;5,20516E+14;9,92082E+13;5,53567E+14;7,99978E+14;5,82778E+14;5,37503E+14;5,52712E+14;6,28031E+14;6,28447E+14;6,971E+14;4,85287E+14;5,13757E+14;6,10974E+14;5,92946E+14;2,75004E+14;1,25435E+14;2,31322E+14;2,81314E+14;3,21241E+14;-9,278E+14;3,98085E+14;3,76276E+14
Angola;AGO;2023-06-29;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;;;;;;;;;;;;;;;;;;;;;-4,4E+14;0;4,2E+14;6E+14;3,5E+14;2,9E+14;4,08275E+14;6,12889E+14;4,16215E+14;-3,4501E+14;9,91359E+14;-5,83828E+14;-2,39834E+14;1,33936E+14;1,5E+14;1,35444E+14;7,27428E+14;4,69115E+14;2,18149E+14;3,05462E+14;4,206E+13;1,36657E+14;2,99E+14;1095;1503;1155;1,401E+14;1117;8,6E+14;4,39838E+12;3,47205E+14;8,54211E+14;4,95461E+14;4,82256E+14;9,43572E+14;-2,58011E+13;-1,4715E+14;-1,31636E+14;-7,02273E+14;-5,63821E+14;1,19921E+14;3,0454E+14
Albania;ALB;2023-06-29;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;;;;;;;;;;;;;;;;;;;;;5,74564E+14;2,9486E+14;1,10494E+14;-1,2516E+14;1,78064E+14;5,63724E+14;-7,87843E+14;-1,42004E+14;9,83655E+14;-9,57564E+14;-2,80021E+14;-7,18711E+14;9,55941E+13;8,30287E+14;1,33223E+13;9,1E+14;-1,092E+14;8,82942E+14;1,28908E+14;6,94622E+14;8,29331E+14;4,53652E+14;5,52864E+14;5,51467E+14;5,52642E+14;5,90266E+14;5,98326E+14;7,50004E+14;3,35429E+14;3,70694E+14;2,54541E+14;1,41724E+13;1,00202E+14;1,77445E+14;2,21873E+14;3,31498E+14;3,8026E+14;4,01935E+14;2,08771E+14;-3,30208E+14;8,90853E+14;4,84424E+14
Andorra;AND;2023-06-29;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;;;;;;;;;;;4,64947E+14;8,14974E+14;7,78847E+14;5,61879E+13;5,42206E+13;3,30379E+14;2,83858E+14;1,463E+14;4,15572E+14;2,20873E+14;-1,32475E+14;1,24646E+14;1,77012E+14;1,78469E+14;2,32143E+14;3,25332E+13;5,54712E+14;5,09433E+13;4,82703E+14;3,78139E+14;2,546E+14;9,29214E+14;-1,03148E+14;2,38318E+13;2,7575E+14;4,64974E+14;9,06767E+14;3,19479E+14;4,09908E+13;3,52836E+14;8,11936E+14;4,54636E+14;8,6942E+14;8,13568E+14;5,3978E+14;4,80869E+14;1,55319E+14;-5,55919E+14;-5,30285E+14;-1,97496E+14;-8,06975E+14;-4,97444E+14;-3,5476E+14;2,50447E+14;1,43414E+14;3,70968E+14;3,46072E+14;1,58877E+14;2,01555E+14;-1,11839E+14;8,2872E+14;8,80958E+14
Arab World;ARB;2023-06-29;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;;;;;;;;;;;;;;;;1,57378E+14;8,11809E+14;-5,93564E+14;1,0996E+14;9,04993E+14;3,37404E+14;-8,28281E+14;-6,20796E+14;1,3275E+14;-2,01349E+14;4,48334E+14;-8,21039E+14;5,81583E+14;2,19399E+14;1,20542E+14;2,43469E+14;5,15099E+14;3,13955E+14;3,31871E+14;3,00814E+14;4,73644E+14;4,71801E+14;5,1262E+14;1,85445E+13;6,56708E+14;1,7448E+14;7,14608E+14;4,89602E+13;8,83015E+14;5,50529E+14;6,1025E+14;4,5583E+14;5,54839E+14;3,88872E+14;4,72886E+14;3,51259E+14;5,14206E+14;2,61881E+14;2,43033E+14;3,44888E+14;3,68873E+13;1,21869E+14;2,44779E+14;1,3777E+14;-5,0726E+14;3,56361E+14;5,96275E+14
United Arab Emirates;ARE;2023-06-29;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;;;;;;;;;;;;;;;;1,65269E+14;2,14393E+14;-1,5896E+14;2,09236E+14;2,38748E+13;4,65918E+14;-6,71932E+14;-4,74582E+13;4,01695E+13;-3,59448E+14;-1,49581E+14;3,38198E+14;-2,61891E+14;1,23379E+12;1,8328E+14;8,60082E+14;3,34494E+13;1,26119E+14;6,89615E+14;6,68789E+14;5,7984E+14;8,1904E+13;2,91994E+14;2,90221E+14;1,08527E+14;1,39909E+13;2,43346E+14;8,80054E+14;9,56644E+14;4,85514E+14;9,83732E+14;3,18439E+13;3,19184E+14;-5,24292E+13;1,60285E+14;6,92851E+14;4,77663E+14;5,05556E+14;4,16569E+14;6,78677E+14;5,56149E+14;7,35069E+14;1,31391E+14;1,10835E+14;-4,95705E+14;3,9163E+14;7,4111E+14
Argentina;ARG;2023-06-29;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;5,42784E+14;-8,52022E+14;-5,3082E+14;1,01303E+14;1,05694E+14;-6,59726E+14;3,192E+14;4,8225E+14;9,67953E+14;3,04564E+14;5,65813E+14;1,62842E+14;2,81175E+14;5,5338E+13;-2,84121E+14;-2,01825E+14;6,93415E+14;-4,50612E+14;1,02228E+14;1,51878E+14;-5,18979E+14;-7,35659E+14;4,34909E+14;1,57074E+14;-5,18902E+14;6,15338E+14;2,70487E+14;-1,08993E+14;-7,15695E+14;-2,46721E+14;9,13311E+14;7,93729E+14;8,20698E+14;5,8362E+14;-2,84521E+14;5,52669E+14;8,11105E+13;3,85018E+14;-3,38546E+14;-7,88999E+13;-4,40884E+14;-1,08945E+14;8,83704E+14;9,02957E+14;8,85166E+14;8,04715E+14;9,00765E+14;4,05723E+14;-5,91853E+14;1,01254E+14;6,00395E+14;-1,02642E+13;2,40532E+14;-2,51262E+14;2,73116E+14;-2,08033E+14;2,8185E+14;-2,6174E+14;-2,00086E+14;-9,94324E+14;1,03982E+14;5,24304E+13
